blasting 
looks well fed 
is 
have 
writing 
just upset 
trump 
are 
getting 
now creating 
doesnt 
to have 
lose 
has dedicated 
own 
shows 
has separated 
says 
prove 
did not collude 
should have been fired 
youre not target 
is 
mohammed 
havent personalized anything 
let 
take 
dictate 
have 
made 
were 
