was 
were diagnosed 
can die 
stated 
thank yo 
cant sign 
get 
agree 
should pardon 
to love 
coming 
to help 
admits 
comey 
are 
are 
speaks 
will somehow trickle 
is 
should go and play 
running 
driving 
passed 
flying 
can do 
do put 
thank 
bring 
to hear 
may have installed 
switch sealed 
aimed 
will never forget 
are 
left 
are 
died 
were born 
