is 
have 
read 
must be held 
don put 
is 
to do 
reopen 
grilled 
pick 
am 
is 
are 
did 
was best 
denunciado 
cidad 
is responding to trump 
is 
shining 
see 
is 
had ever heard 
arrives 
has 
did 
lending 
lights 
invokes 
strikes 
doesn know 
couldn find 
see 
launched 
thank 
trump 
never seen 
traumatized 
coming 
said 
is cooked 
proves 
committed 
are cooked 
know 
will be firing 
did 
hear 
deleted 
showed 
facepalming 
is 
was 
to know 
fails to consult 
gonna get 
is 
going to bomb 
can we take 
mundo entrar 
got 
pessoalmente 
muqueta 
amazing 
was gassing 
would you want 
to step 
stop him 
blistering 
dictated 
twitter 
have 
called 
may donald trump 
is surrounded 
wasnt 
lied 
destroying 
