"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"467","talk jallikattu haven","abusing ","gutter tweets","beefeating cadre of dmk admk cong ltte remnants abusing dr swamy n brahmins but talk jallikattu haven you seen gutter tweets","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"468","talk jallikattu haven","swamy ","gutter tweets","beefeating cadre of dmk admk cong ltte remnants abusing dr swamy n brahmins but talk jallikattu haven you seen gutter tweets","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"469","activists","battling ","experts","activists are experts in battling court cases farmers are not","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"470","experts","battling ","court cases farmers","activists are experts in battling court cases farmers are not","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"471","a rural sport","keeps ","youth away","on jallikattu it is a rural sport that keeps youth away from bad habits","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"472","youth away","keeps ","bad habits","on jallikattu it is a rural sport that keeps youth away from bad habits","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"473","local admn","should ensure ","traditio","local admn should ensure traditio","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"474","so many","turned ","in support","why so many turned up in support of jallikattu justiceforjallikattu savejallikattu","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"475","yesterday","balaya jai ","the bull name jai","yesterday jallikattu the bull name jai balaya jai ntr fans hosur town","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"476","yesterday","hosur ","the bull name jai","yesterday jallikattu the bull name jai balaya jai ntr fans hosur town","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"477","the bull name jai","balaya jai ","ntr fans","yesterday jallikattu the bull name jai balaya jai ntr fans hosur town","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"478","the bull name jai","hosur ","ntr fans","yesterday jallikattu the bull name jai balaya jai ntr fans hosur town","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"479","ntr fans","balaya jai ","town","yesterday jallikattu the bull name jai balaya jai ntr fans hosur town","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"480","ntr fans","hosur ","town","yesterday jallikattu the bull name jai balaya jai ntr fans hosur town","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"481","whats","needed ","jallikattu but norms","whats needed is not banning jallikattu but norms to ensure that the animals are safe","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"482","whats","is not banning ","jallikattu but norms","whats needed is not banning jallikattu but norms to ensure that the animals are safe","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"483","jallikattu but norms","needed ","the animals","whats needed is not banning jallikattu but norms to ensure that the animals are safe","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"484","jallikattu but norms","is not banning ","the animals","whats needed is not banning jallikattu but norms to ensure that the animals are safe","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"485","all it","should be remembered ","colossal mistrust","if at all it should be remembered itd be colossal mistrust in political establishment after a leaders demise exp thro jallikattu nn","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"486","colossal mistrust","should be remembered ","political establishment","if at all it should be remembered itd be colossal mistrust in political establishment after a leaders demise exp thro jallikattu nn","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"487","political establishment","should be remembered ","a leaders demise","if at all it should be remembered itd be colossal mistrust in political establishment after a leaders demise exp thro jallikattu nn","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"488","sasikala cm jayalalitha","opaneerselvam ","ops","sasikala cm jayalalitha tamilnadu ops opaneerselvam deepa marina jallikattu marinaprotest","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"489","ops","opaneerselvam ","deepa marina jallikattu marinaprotest","sasikala cm jayalalitha tamilnadu ops opaneerselvam deepa marina jallikattu marinaprotest","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"490","its nature","to safeguard ","statusquoist desperate attempt","jallikattu protests in its nature is statusquoist desperate attempt to safeguard ones tradition n","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"491","statusquoist desperate attempt","to safeguard ","ones","jallikattu protests in its nature is statusquoist desperate attempt to safeguard ones tradition n","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"492","ones","to safeguard ","tradition n","jallikattu protests in its nature is statusquoist desperate attempt to safeguard ones tradition n","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"493","how many","will mention ","national or tamilnadu media","0","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"494","evil ngos and people","has been projected ","those","and thats how jallikattu has been projected to the world by evil ngos and people who got convinced those are real banned it","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"495","evil ngos and people","got convinced ","those","and thats how jallikattu has been projected to the world by evil ngos and people who got convinced those are real banned it","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"496","those","has been projected ","real banned","and thats how jallikattu has been projected to the world by evil ngos and people who got convinced those are real banned it","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"497","those","got convinced ","real banned","and thats how jallikattu has been projected to the world by evil ngos and people who got convinced those are real banned it","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"498","rgv slams maheshbabu","overlooking ","problems","rgv slams maheshbabu for supporting jallikattu while overlooking problems of andhra pradesh","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"499","problems","overlooking ","andhra pradesh","rgv slams maheshbabu for supporting jallikattu while overlooking problems of andhra pradesh","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
"500","osama bin ladens pictures","demanded ","separate tamilnadu","jallikattu protesters held osama bin ladens pictures demanded separate tamilnadu","737.001142351771","NA","NA","NA","NA","NA","NA","NA","NA"
