text
 RT @itisprashanth: All petitions regarding #jallikattu to be heard by Supreme Court tomorrow. Tomorrow will be the D-Day for all the Youth\u2026
 RT @Ban_Peta_India: #\u0b9c\u0bb2\u0bcd\u0bb2\u0bbf\u0b95\u0bcd\u0b95\u0b9f\u0bcd\u0b9f\u0bc1\n\n\u0baa\u0bbf\u0baa\u0bcd\u0bb0\u0bb5\u0bb0\u0bbf - 5 - \u0b85\u0bb5\u0ba9\u0bbf\u0baf\u0bbe\u0baa\u0bc1\u0bb0\u0bae\u0bcd\n\u0baa\u0bbf\u0baa\u0bcd\u0bb0\u0bb5\u0bb0\u0bbf - 9 - \u0baa\u0bbe\u0bb2\u0bae\u0bc7\u0b9f\u0bc1\n\u0baa\u0bbf\u0baa\u0bcd\u0bb0\u0bb5\u0bb0\u0bbf -10 - \u0b85\u0bb2\u0b99\u0bcd\u0b95\u0bbe\u0ba8\u0bb2\u0bcd\u0bb2\u0bc2\u0bb0\u0bcd.. \n\n#Jallikattu https://t\u2026
 RT @CMOTamilNadu: Now #Jallikattu is permanent!!\n\nHon President of India has permitted the Jallikattu Ordinance conceded by Tamilnadu Gover\u2026
 RT @avadhaar: \u0b9c\u0bb2\u0bcd\u0bb2\u0bbf\u0b95\u0b9f\u0bcd\u0b9f\u0bc1 \u0ba8\u0bae\u0bcd \u0b95\u0bb2\u0bbe\u0b9a\u0bcd\u0b9a\u0bbe\u0bb0\u0bae\u0bcd #SuperStar #Rajinikanth \n\n#Ilayathalapathy #Vijay #ulaganayagan #KamalHaasan #jallikattu  https://t\u2026
 RT @AlwaysKNA: #Letsdojallikattu \ud83d\udcaa\n\n#jallikattu #JallikattuForever https://t.co/9Bx8dnrLFe
 RT @hindutalkies: #Jallikattu #Lawrence \u0bae\u0bc1\u0ba4\u0bb2\u0bcd\u0bb5\u0bb0\u0bc8 \u0b9a\u0ba8\u0bcd\u0ba4\u0bbf\u0ba4\u0bcd\u0ba4\u0bc1 \u0bb2\u0bbe\u0bb0\u0ba9\u0bcd\u0bb8\u0bcd \u0bb5\u0bb2\u0bbf\u0baf\u0bc1\u0bb1\u0bc1\u0ba4\u0bcd\u0ba4\u0bbf\u0baf 3 \u0b95\u0bcb\u0bb0\u0bbf\u0b95\u0bcd\u0b95\u0bc8\u0b95\u0bb3\u0bcd https://t.co/zZkHrlaQgC https://t.co/zNEi7vdd\u2026
 RT @KollywudCinema: Feb 5 \u0b85\u0bb5\u0ba9\u0bbf\u0baf\u0bbe\u0baa\u0bc1\u0bb0\u0bae\u0bcd\nFeb 9 \u0baa\u0bbe\u0bb2\u0bae\u0bc7\u0b9f\u0bc1\nFeb 10 \u0b85\u0bb2\u0b99\u0bcd\u0b95\u0bbe\u0ba8\u0bb2\u0bcd\u0bb2\u0bc2\u0bb0\u0bcd\n\n#\u0b9c\u0bb2\u0bcd\u0bb2\u0bbf\u0b95\u0bcd\u0b95\u0b9f\u0bcd\u0b9f\u0bc1 \u0ba4\u0bc7\u0ba4\u0bbf \u0b85\u0bb1\u0bbf\u0bb5\u0bbf\u0baa\u0bcd\u0baa\u0bc1. #Jallikattu Official Date\n\n#\u0b9a\u0bbf\u0bb1\u0baa\u0bcd\u0baa\u0bc1\u2026
 Jallikattu Dates Have Been Announced  Will CM Attend Jallikattu? https://t.co/YRp7R3L1EK #jallikattu
 A woman who can compare #Jallikattu to Triple Talaq is a disgrace to the human mind. Isn't it @RanaAyyub
 RT @PawanKalyan: #JanaSena #BattleofAndhras #jallikattu #APDemandsSpecialStatus https://t.co/LnKyKmI91M
